"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Find out what’s in Starbucks’ lower-sugar drinks—and if they are actually healthy. #Starbucks… https://t.co/HeQLPJJ9Wn",FALSE,0,NA,2019-10-14 16:23:35,TRUE,NA,"1183780400373665793",NA,"<a href=""http://www.edgetheory.com"" rel=""nofollow"">EdgeTheory</a>","Trisha2thfairy",0,FALSE,FALSE,NA,NA
"Same reason for #Starbucks, didn’t spend a dollar ever since. (I mean #HongKong Starbucks) 

It’s challenge for a S… https://t.co/FczMI5ozvq",FALSE,1,NA,2019-10-14 16:21:49,TRUE,NA,"1183779957043941377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Wakaka_mui",0,FALSE,FALSE,NA,NA
"<U+0001F937><U+200D><U+2640><U+FE0F> what a psycho ... <U+2615><U+FE0F> 
.
.
.
.
#starbucks #coffee #psycho #monday #memesdaily #columbusday @ Starbucks https://t.co/1BevWTtkHv",FALSE,0,NA,2019-10-14 16:21:25,FALSE,NA,"1183779852601774082",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamYvonne___",0,FALSE,FALSE,NA,NA
"The Never-Ending Journey to Customer Experience Excellence  https://t.co/ZIdECh9jJB @josephmichelli #customer… https://t.co/jHbtmVJh9M",FALSE,0,NA,2019-10-14 16:20:09,TRUE,NA,"1183779533843058688",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","iris_xyz",0,FALSE,FALSE,NA,NA
"#Starbucks me please https://t.co/RK1sq4VblQ",FALSE,1,NA,2019-10-14 16:19:52,FALSE,NA,"1183779465907732481",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","racquetball54",0,FALSE,FALSE,NA,NA
"Indeed #Starbucks. Indeed. #ThatFirstSipFeeling #coffee #addicted #GodILoveIt #DairyAshfordAndMemorial… https://t.co/NWGNnGGSJp",FALSE,0,NA,2019-10-14 16:18:30,TRUE,NA,"1183779119080845312",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","tiannahall",0,FALSE,FALSE,"-95.60719641","29.76984163"
"Attention @faithgboro music team. $10 gift card to #starbucks on the line this weekend at rehearsal. Be there. One… https://t.co/eDbNJUsgTB",FALSE,0,NA,2019-10-14 16:11:52,TRUE,NA,"1183777451480104962",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","kdmusicman",0,FALSE,FALSE,NA,NA
"Are those healthy Starbucks drinks *really* good for you? #Starbucks https://t.co/zR7ugrXuB8 https://t.co/HrYPzDpngo",FALSE,0,NA,2019-10-14 16:11:23,FALSE,NA,"1183777329874690048",NA,"<a href=""http://www.edgetheory.com"" rel=""nofollow"">EdgeTheory</a>","debsyres",0,FALSE,FALSE,NA,NA
"Tis the season for warm drinks and baggy jumpers!

So why not pop into our lobby where we proudly serve Starbucks c… https://t.co/HvPZ6fbBK3",FALSE,1,NA,2019-10-14 16:11:04,TRUE,NA,"1183777250635931648",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","HIFareham",0,FALSE,FALSE,NA,NA
"Lady Gaga Launches Drinks @ STARBUCKS For Charity! https://t.co/VgiFIGUjxr #LadyGaga #LadyGagaMusic #Starbucks https://t.co/bTORaAPEHw",FALSE,0,NA,2019-10-14 16:09:14,FALSE,NA,"1183776787035066369",NA,"<a href=""https://iconichipster.com"" rel=""nofollow"">App for IconicHipster.com</a>","AaronRFernandes",0,FALSE,FALSE,NA,NA
"Back to work with starbucksptg #ChilledClassics. The best start! <U+0001F4AA>

#trnd #trndportugal #starbucks #caffelatte… https://t.co/dMD2DIyIAM",FALSE,0,NA,2019-10-14 16:08:09,TRUE,NA,"1183776516456484864",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","aDreamersWaltz",0,FALSE,FALSE,NA,NA
"Thnx to the @Starbucks on Kansas in #Modesto for a special morning note<U+263A><U+FE0F> It’s the little things. #Starbucks https://t.co/otQVm8ylfI",FALSE,1,NA,2019-10-14 16:06:22,FALSE,NA,"1183776065895817217",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angelofrock5",0,FALSE,FALSE,NA,NA
"Almond milk at Starbucks, where have you been all my life? <U+0001F60D> #starbucks #latte #espresso",FALSE,2,NA,2019-10-14 16:04:56,FALSE,NA,"1183775704128933888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","purduegamergirl",0,FALSE,FALSE,NA,NA
"Do you drink too much caffeine? How much caffeine do you drink a day?  How much is too much caffeine? Take a look a… https://t.co/N4XoB6BDPQ",FALSE,0,NA,2019-10-14 16:02:14,TRUE,NA,"1183775026841042945",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","diethealth_club",0,FALSE,FALSE,NA,NA
"Save precious time in the morning. by ordering your #coffee while you get ready for work. Enable the #AlexaSkill &amp;… https://t.co/X9EvgGP4Q0",FALSE,1,NA,2019-10-14 16:00:39,TRUE,NA,"1183774626561843200",NA,"<a href=""https://socialbee.io/"" rel=""nofollow"">SocialBee.io v2</a>","AmazonAlexaTips",0,FALSE,FALSE,NA,NA
"<U+0001F341> Keep calm and enjoy fall <U+0001F342>
•  •  •
#fall #fallweather #leaves #brownleaves #fallingleaves #sweaterweather #hat… https://t.co/o7SYy7bFRI",FALSE,1,NA,2019-10-14 16:00:30,TRUE,NA,"1183774589773590529",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Anncku_Ioana",0,FALSE,FALSE,NA,NA
"@starbucks #starbucks #coffee<U+2615> #coffeeshop #coffeeholic #breakfast #sopressata #ketogeniclife #ketodietlife… https://t.co/FTAxIDQ997",FALSE,2,"Starbucks",2019-10-14 16:00:01,TRUE,NA,"1183774470105784329","30973","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","RayRodr44891801",0,FALSE,FALSE,"-73.830347","40.867375"
"Well, would ya look at that?

#namespelledright #thatneverhappens #starbucks #pumpkincreamcoldbrew… https://t.co/XDimQUwMS9",FALSE,2,NA,2019-10-14 15:56:07,TRUE,NA,"1183773485807656963",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ChristinaDurbi1",0,FALSE,FALSE,NA,NA
"Mark my words, #Starbucks' solution will be to fire the barista for enforcing the manager's interpretation of corpo… https://t.co/bYZ2FMwal8",FALSE,0,NA,2019-10-14 15:54:07,TRUE,NA,"1183772985146122240",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheRedneckInte2",0,FALSE,FALSE,NA,NA
"RT @tc53133635: Why #Starbucks ? Hope you can have more information by reading this news from #BBC :)
#HongKong #boycottmaxim 
https://t.co…",FALSE,0,NA,2019-10-14 15:47:16,FALSE,NA,"1183771258913034240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ilovestephencu2",236,TRUE,FALSE,NA,NA
"@flyLAXairport @Amtrak #California 
#Michigan
Found at #Starbucks 
Container of Complimentary Brown Sugar, usually… https://t.co/mJ6H6BqmZh",FALSE,0,"flyLAXairport",2019-10-14 15:40:45,TRUE,NA,"1183769621674856450","26886095","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CashCount6",0,FALSE,FALSE,NA,NA
"#GavinNewsom #California #LAX @Amtrak

#Starbucks has large container of complimentary brown sugar, that nobody use… https://t.co/2BBstwn3Cq",FALSE,0,NA,2019-10-14 15:35:59,TRUE,NA,"1183768421084749829",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CashCount6",0,FALSE,FALSE,NA,NA
"My first cup of Pup-achino  <U+2615><U+FE0F> #puppy #starbucks #pupachino #puppylove #puppiesofinstagram #red #ivy… https://t.co/kSaO88iOE4",FALSE,0,NA,2019-10-14 15:33:43,TRUE,NA,"1183767852282630144",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Janai_Dance",0,FALSE,FALSE,NA,NA
"RT @UCACampusDining: Breakfast is ready at Starbucks! Happy Monday bears! #ucacampusdining #starbucks #bearsneedbreakfast https://t.co/U0l6…",FALSE,0,NA,2019-10-14 15:31:33,FALSE,NA,"1183767303705546757",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheBear91_3",1,TRUE,FALSE,NA,NA
"Another reason to send time at #starbucks. They support #newspapers. #democracy #firstammendment #journalism https://t.co/jVCUwxBL9I",FALSE,0,NA,2019-10-14 15:29:12,FALSE,NA,"1183766714577752064",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","scottyreiss",0,FALSE,FALSE,NA,NA
