country_year,gdp_for_year,country,year,sex,SuiCount,population,SuiRate
Albania1987,2156624900,Albania,1987,male,48,1392700,3.4465
Albania1988,2126000000,Albania,1988,male,41,1420700,2.8859
Albania1989,2335124988,Albania,1989,male,53,1439800,3.6811
Albania1992,709452584,Albania,1992,male,33,1399300,2.3583
Albania1993,1228071038,Albania,1993,male,46,1379900,3.3336
Albania1994,1985673798,Albania,1994,male,35,1404200,2.4925
Albania1995,2424499009,Albania,1995,male,54,1429600,3.7773
Albania1996,3314898292,Albania,1996,male,50,1444200,3.4621
Albania1997,2359903108,Albania,1997,male,118,1448400,8.1469
Albania1998,2707123772,Albania,1998,male,96,1475400,6.5067
Albania1999,3414760915,Albania,1999,male,91,1486400,6.1222
Albania2000,3632043908,Albania,2000,male,38,1423900,2.6687
Albania2001,4060758804,Albania,2001,male,84,1390619,6.0405
Albania2002,4435078648,Albania,2002,male,91,1400102,6.4995
Albania2003,5746945913,Albania,2003,male,73,1412255,5.169
Albania2004,7314865176,Albania,2004,male,89,1427382,6.2352
Albania2005,8158548717,Albania,2005,male,0,1383392,0
Albania2006,8992642349,Albania,2006,male,0,1382667,0
Albania2007,10701011897,Albania,2007,male,77,1378492,5.5858
Albania2008,12881352688,Albania,2008,male,99,1372386,7.2137
Albania2009,12044212904,Albania,2009,male,0,1367676,0
Albania2010,11926953259,Albania,2010,male,61,1364397,4.4708
Antigua and Barbuda1985,240923926,Antigua and Barbuda,1985,male,0,30282,0
Antigua and Barbuda1986,290440148,Antigua and Barbuda,1986,male,0,29607,0
Antigua and Barbuda1987,337174852,Antigua and Barbuda,1987,male,0,29076,0
Antigua and Barbuda1988,398637741,Antigua and Barbuda,1988,male,0,28713,0
Antigua and Barbuda1989,438794778,Antigua and Barbuda,1989,male,0,28546,0
Antigua and Barbuda1990,459469074,Antigua and Barbuda,1990,male,1,28605,3.4959
Antigua and Barbuda1991,481706333,Antigua and Barbuda,1991,male,0,29158,0
Antigua and Barbuda1992,499281148,Antigua and Barbuda,1992,male,0,29890,0
Antigua and Barbuda1993,535172778,Antigua and Barbuda,1993,male,1,30725,3.2547
Antigua and Barbuda1994,589429593,Antigua and Barbuda,1994,male,0,31579,0
Antigua and Barbuda1995,577280741,Antigua and Barbuda,1995,male,0,32382,0
Antigua and Barbuda1998,727860593,Antigua and Barbuda,1998,male,0,34169,0
Antigua and Barbuda1999,766198926,Antigua and Barbuda,1999,male,0,34673,0
Antigua and Barbuda2000,830158778,Antigua and Barbuda,2000,male,2,35237,5.6759
Antigua and Barbuda2001,800740259,Antigua and Barbuda,2001,male,2,35816,5.5841
Antigua and Barbuda2002,814615333,Antigua and Barbuda,2002,male,0,36472,0
Antigua and Barbuda2003,855643111,Antigua and Barbuda,2003,male,1,37184,2.6893
Antigua and Barbuda2004,919577148,Antigua and Barbuda,2004,male,2,37885,5.2791
Antigua and Barbuda2005,1022191296,Antigua and Barbuda,2005,male,0,38551,0
Antigua and Barbuda2006,1157005444,Antigua and Barbuda,2006,male,0,39199,0
Antigua and Barbuda2007,1311401333,Antigua and Barbuda,2007,male,1,39773,2.5143
Antigua and Barbuda2008,1368431037,Antigua and Barbuda,2008,male,0,40286,0
Antigua and Barbuda2009,1224253000,Antigua and Barbuda,2009,male,0,40782,0
Antigua and Barbuda2012,1211411704,Antigua and Barbuda,2012,male,0,42322,0
Antigua and Barbuda2013,1192925407,Antigua and Barbuda,2013,male,0,42860,0
Antigua and Barbuda2014,1280133333,Antigua and Barbuda,2014,male,0,43382,0
Antigua and Barbuda2015,1364863037,Antigua and Barbuda,2015,male,0,43899,0
Argentina1985,88416668900,Argentina,1985,male,1450,13399900,10.821
Argentina1986,1.11E+11,Argentina,1986,male,1643,13475700,12.1923
Argentina1987,1.11E+11,Argentina,1987,male,1600,13651500,11.7203
Argentina1988,1.26E+11,Argentina,1988,male,1689,13984000,12.0781
Argentina1989,76636898036,Argentina,1989,male,1641,14173000,11.5784
Argentina1990,1.41E+11,Argentina,1990,male,1545,14359100,10.7597
Argentina1991,1.90E+11,Argentina,1991,male,1452,14490000,10.0207
Argentina1992,2.29E+11,Argentina,1992,male,1680,14684100,11.4409
Argentina1993,2.37E+11,Argentina,1993,male,1737,14893500,11.6628
Argentina1994,2.57E+11,Argentina,1994,male,1731,15104400,11.4602
Argentina1995,2.58E+11,Argentina,1995,male,1700,15315900,11.0996
Argentina1996,2.72E+11,Argentina,1996,male,1697,15527900,10.9287
Argentina1997,2.93E+11,Argentina,1997,male,1645,15765046,10.4345
Argentina1998,2.99E+11,Argentina,1998,male,1821,15968063,11.404
Argentina1999,2.84E+11,Argentina,1999,male,1930,16168564,11.9367
Argentina2000,2.84E+11,Argentina,2000,male,2224,16366188,13.589
Argentina2001,2.69E+11,Argentina,2001,male,2456,16572648,14.8196
Argentina2002,97724004252,Argentina,2002,male,2459,16765006,14.6675
Argentina2003,1.28E+11,Argentina,2003,male,2605,16948518,15.3701
Argentina2004,1.65E+11,Argentina,2004,male,2467,17131546,14.4003
Argentina2005,1.99E+11,Argentina,2005,male,2394,17320018,13.8222
Argentina2006,2.33E+11,Argentina,2006,male,2496,17498236,14.2643
Argentina2007,2.88E+11,Argentina,2007,male,2346,17691237,13.2608
Argentina2008,3.62E+11,Argentina,2008,male,2448,17895488,13.6794
Argentina2009,3.33E+11,Argentina,2009,male,2300,18103296,12.7049
Argentina2010,4.24E+11,Argentina,2010,male,2377,18309220,12.9825
Argentina2011,5.30E+11,Argentina,2011,male,2329,18524167,12.5728
Argentina2012,5.46E+11,Argentina,2012,male,2620,18733710,13.9855
Argentina2013,5.52E+11,Argentina,2013,male,2398,18939085,12.6616
Argentina2014,5.26E+11,Argentina,2014,male,2544,19144749,13.2882
Argentina2015,5.95E+11,Argentina,2015,male,2469,19353495,12.7574
Armenia1990,2256838858,Armenia,1990,male,64,1456600,4.3938
Armenia1991,2068526522,Armenia,1991,male,54,1555700,3.4711
Armenia1992,1272577456,Armenia,1992,male,64,1591900,4.0204
Armenia1993,1201313201,Armenia,1993,male,71,1619400,4.3843
Armenia1994,1315158670,Armenia,1994,male,76,1636900,4.6429
Armenia1995,1468317350,Armenia,1995,male,95,1656800,5.7339
Armenia1996,1596968913,Armenia,1996,male,63,1678500,3.7534
Armenia1997,1639492424,Armenia,1997,male,62,1699500,3.6481
Armenia1998,1893726437,Armenia,1998,male,48,1716900,2.7957
Armenia1999,1845482181,Armenia,1999,male,49,1730100,2.8322
Armenia2000,1911563665,Armenia,2000,male,47,1742500,2.6973
Armenia2001,2118467913,Armenia,2001,male,48,1745078,2.7506
Armenia2002,2376335048,Armenia,2002,male,62,1438018,4.3115
Armenia2003,2807061009,Armenia,2003,male,50,1445230,3.4597
Armenia2006,6384451606,Armenia,2006,male,61,1286445,4.7417
Armenia2007,9206301700,Armenia,2007,male,51,1271144,4.0121
Armenia2008,11662040714,Armenia,2008,male,44,1464393,3.0047
Armenia2009,8647936748,Armenia,2009,male,43,1246133,3.4507
Armenia2010,9260284938,Armenia,2010,male,54,1238982,4.3584
Armenia2011,10142111334,Armenia,2011,male,51,1236264,4.1253
Armenia2012,10619320049,Armenia,2012,male,59,1338794,4.407
Armenia2013,11121465767,Armenia,2013,male,43,1335071,3.2208
Armenia2014,11609512940,Armenia,2014,male,43,1329096,3.2353
Armenia2015,10553337673,Armenia,2015,male,55,1322750,4.158
Armenia2016,10546135160,Armenia,2016,male,53,1108287,4.7822
Aruba1995,1320670391,Aruba,1995,male,8,36252,22.0677
Aruba1999,1722798883,Aruba,1999,male,9,39558,22.7514
Aruba2000,1873452514,Aruba,2000,male,6,40282,14.895
Aruba2001,1920262570,Aruba,2001,male,4,41155,9.7194
Aruba2002,1941094972,Aruba,2002,male,9,42071,21.3924
Aruba2003,2021301676,Aruba,2003,male,2,42972,4.6542
Aruba2004,2228279330,Aruba,2004,male,7,43768,15.9934
Aruba2005,2331005587,Aruba,2005,male,5,44369,11.2691
Aruba2006,2421474860,Aruba,2006,male,7,44715,15.6547
Aruba2007,2623726257,Aruba,2007,male,7,44873,15.5996
Aruba2008,2791960894,Aruba,2008,male,3,44914,6.6794
Aruba2009,2498932961,Aruba,2009,male,4,44941,8.9006
Aruba2010,2467703911,Aruba,2010,male,6,45063,13.3147
Aruba2011,2584463687,Aruba,2011,male,7,45303,15.4515
Australia1985,1.80E+11,Australia,1985,male,1436,7248700,19.8104
Australia1986,1.82E+11,Australia,1986,male,1581,7381100,21.4196
Australia1987,1.89E+11,Australia,1987,male,1727,7497500,23.0343
Australia1988,2.36E+11,Australia,1988,male,1712,7629800,22.4383
Australia1989,2.99E+11,Australia,1989,male,1642,7750500,21.1857
Australia1990,3.11E+11,Australia,1990,male,1758,7866100,22.3491
Australia1991,3.25E+11,Australia,1991,male,1806,7963000,22.6799
Australia1992,3.25E+11,Australia,1992,male,1786,8054900,22.1728
Australia1993,3.12E+11,Australia,1993,male,1640,8135700,20.1581
Australia1994,3.22E+11,Australia,1994,male,1865,8223500,22.6789
Australia1995,3.67E+11,Australia,1995,male,1711,8324300,20.5543
Australia1996,4.00E+11,Australia,1996,male,1966,8442700,23.2864
Australia1997,4.35E+11,Australia,1997,male,2089,8537757,24.4678
Australia1998,3.99E+11,Australia,1998,male,2108,8632557,24.4192
Australia1999,3.88E+11,Australia,1999,male,1999,8737718,22.8778
Australia2000,4.15E+11,Australia,2000,male,1886,8849461,21.312
Australia2001,3.78E+11,Australia,2001,male,1936,8973153,21.5755
Australia2002,3.94E+11,Australia,2002,male,1813,9101577,19.9196
Australia2003,4.66E+11,Australia,2003,male,1685,9225167,18.2653
Australia2004,6.12E+11,Australia,2004,male,1672,9343200,17.8954
Australia2006,7.46E+11,Australia,2006,male,1623,9467930,17.1421
Australia2007,8.52E+11,Australia,2007,male,1699,9788458,17.3572
Australia2008,1.05E+12,Australia,2008,male,1833,9988510,18.3511
Australia2009,9.26E+11,Australia,2009,male,1785,10200159,17.4997
Australia2010,1.14E+12,Australia,2010,male,1867,10356291,18.0277
Australia2011,1.39E+12,Australia,2011,male,1812,10369707,17.474
Australia2012,1.54E+12,Australia,2012,male,1930,10548268,18.2968
Australia2013,1.57E+12,Australia,2013,male,1944,10726212,18.1238
Australia2014,1.46E+12,Australia,2014,male,2182,10881037,20.0532
Australia2015,1.35E+12,Australia,2015,male,2292,11039273,20.7622
Austria1985,69386774475,Austria,1985,male,1467,3358899,43.675
Austria1986,99036165210,Austria,1986,male,1511,3367986,44.8636
Austria1987,1.24E+11,Austria,1987,male,1445,3377939,42.7776
Austria1988,1.33E+11,Austria,1988,male,1322,3389836,38.9989
Austria1989,1.33E+11,Austria,1989,male,1313,3412134,38.4803
Austria1990,1.66E+11,Austria,1990,male,1284,3446280,37.2576
Austria1991,1.74E+11,Austria,1991,male,1299,3487681,37.2454
Austria1992,1.95E+11,Austria,1992,male,1282,3530835,36.3087
Austria1993,1.90E+11,Austria,1993,male,1244,3564725,34.8975
Austria1994,2.04E+11,Austria,1994,male,1285,3583180,35.862
Austria1995,2.41E+11,Austria,1995,male,1333,3592517,37.1049
Austria1996,2.37E+11,Austria,1996,male,1336,3602122,37.0892
Austria1997,2.13E+11,Austria,1997,male,1175,3613025,32.5212
Austria1998,2.18E+11,Austria,1998,male,1177,3625365,32.4657
Austria1999,2.17E+11,Austria,1999,male,1126,3641706,30.9196
Austria2000,1.97E+11,Austria,2000,male,1156,3659891,31.5856
Austria2001,1.97E+11,Austria,2001,male,1081,3684898,29.336
Austria2002,2.13E+11,Austria,2002,male,1190,3714192,32.0393
Austria2003,2.62E+11,Austria,2003,male,1068,3736945,28.5795
Austria2004,3.01E+11,Austria,2004,male,1076,3764190,28.5852
Austria2005,3.16E+11,Austria,2005,male,1049,3794632,27.6443
Austria2006,3.36E+11,Austria,2006,male,1000,3818154,26.1907
Austria2007,3.89E+11,Austria,2007,male,968,3832900,25.255
Austria2008,4.30E+11,Austria,2008,male,963,3847458,25.0295
Austria2009,4.00E+11,Austria,2009,male,972,3859200,25.1866
Austria2010,3.92E+11,Austria,2010,male,970,3870684,25.0602
Austria2011,4.31E+11,Austria,2011,male,975,3885482,25.0934
Austria2012,4.09E+11,Austria,2012,male,987,3906344,25.2666
Austria2013,4.30E+11,Austria,2013,male,967,3933975,24.5807
Austria2014,4.42E+11,Austria,2014,male,990,3969038,24.9431
Austria2015,3.82E+11,Austria,2015,male,961,4017588,23.9198
Austria2016,3.91E+11,Austria,2016,male,906,3649785,24.8234
Azerbaijan1990,8858006036,Azerbaijan,1990,male,89,2982700,2.9839
Azerbaijan1991,8792365811,Azerbaijan,1991,male,102,3049600,3.3447
Azerbaijan1992,4991350458,Azerbaijan,1992,male,106,3093300,3.4268
Azerbaijan1993,3973027397,Azerbaijan,1993,male,83,3135400,2.6472
Azerbaijan1994,3313739674,Azerbaijan,1994,male,28,3180000,0.8805
Azerbaijan1995,3052467522,Azerbaijan,1995,male,42,3227400,1.3014
Azerbaijan1996,3176749593,Azerbaijan,1996,male,56,3263900,1.7157
Azerbaijan1997,3962710163,Azerbaijan,1997,male,86,3287800,2.6157
Azerbaijan1998,4446396218,Azerbaijan,1998,male,41,3444400,1.1903
Azerbaijan1999,4581222442,Azerbaijan,1999,male,44,3467300,1.269
Azerbaijan2000,5272617196,Azerbaijan,2000,male,46,3602600,1.2769
Azerbaijan2001,5707720391,Azerbaijan,2001,male,236,3656900,6.4536
Azerbaijan2002,6235795104,Azerbaijan,2002,male,73,3703600,1.9711
Azerbaijan2003,7276013032,Azerbaijan,2003,male,93,3740600,2.4862
Azerbaijan2004,8680472169,Azerbaijan,2004,male,78,3775450,2.066
Azerbaijan2007,33050343783,Azerbaijan,2007,male,41,3875950,1.0578
Bahamas1985,2320699900,Bahamas,1985,male,1,100000,1
Bahamas1987,2713999900,Bahamas,1987,male,3,109100,2.7498
Bahamas1993,3092000000,Bahamas,1993,male,6,119200,5.0336
Bahamas1994,3259000000,Bahamas,1994,male,3,121900,2.461
Bahamas1995,3429000000,Bahamas,1995,male,2,124600,1.6051
Bahamas1996,3609000000,Bahamas,1996,male,3,123872,2.4219
Bahamas1997,6332360000,Bahamas,1997,male,2,125173,1.5978
Bahamas1998,6833220000,Bahamas,1998,male,3,126773,2.3664
Bahamas1999,7683870000,Bahamas,1999,male,5,128673,3.8858
Bahamas2000,8076470000,Bahamas,2000,male,9,130824,6.8795
Bahamas2001,8317830000,Bahamas,2001,male,1,133864,0.747
Bahamas2002,8881160000,Bahamas,2002,male,3,137026,2.1894
Bahamas2003,8870090000,Bahamas,2003,male,1,140216,0.7132
Bahamas2004,9055290000,Bahamas,2004,male,2,143433,1.3944
Bahamas2005,9836200000,Bahamas,2005,male,3,146713,2.0448
Bahamas2006,10167250000,Bahamas,2006,male,2,150074,1.3327
Bahamas2007,10618340000,Bahamas,2007,male,4,153286,2.6095
Bahamas2008,10526000000,Bahamas,2008,male,4,156469,2.5564
Bahamas2009,9981960000,Bahamas,2009,male,5,159603,3.1328
Bahamas2010,10095760000,Bahamas,2010,male,6,162590,3.6903
Bahamas2011,10070450000,Bahamas,2011,male,3,164828,1.8201
Bahamas2012,10720500000,Bahamas,2012,male,4,167397,2.3895
Bahamas2013,10627600000,Bahamas,2013,male,4,170076,2.3519
Bahrain1985,3651861702,Bahrain,1985,male,10,222000,4.5045
Bahrain1987,3392021011,Bahrain,1987,male,7,217600,3.2169
Bahrain1988,3702393617,Bahrain,1988,male,13,231400,5.618
Bahrain1997,6349202394,Bahrain,1997,male,0,307312,0
Bahrain1998,6183776596,Bahrain,1998,male,0,316006,0
Bahrain1999,6621010372,Bahrain,1999,male,14,327494,4.2749
Bahrain2000,9062906915,Bahrain,2000,male,28,343005,8.1631
Bahrain2001,8976207713,Bahrain,2001,male,20,365118,5.4777
Bahrain2002,9632155053,Bahrain,2002,male,18,390227,4.6127
Bahrain2003,11074822074,Bahrain,2003,male,29,419218,6.9176
Bahrain2004,13150166755,Bahrain,2004,male,35,453106,7.7245
Bahrain2005,15968726862,Bahrain,2005,male,35,498154,7.0259
Bahrain2006,18505053191,Bahrain,2006,male,17,543716,3.1266
Bahrain2007,21730000000,Bahrain,2007,male,34,594278,5.7212
Bahrain2008,25710877660,Bahrain,2008,male,35,636306,5.5005
Bahrain2009,22938218085,Bahrain,2009,male,30,688535,4.3571
Bahrain2010,25713271277,Bahrain,2010,male,15,718913,2.0865
Bahrain2011,28776595745,Bahrain,2011,male,12,694802,1.7271
Bahrain2012,30749308511,Bahrain,2012,male,18,756451,2.3795
Bahrain2013,32539547872,Bahrain,2013,male,5,760786,0.6572
Bahrain2014,33387712766,Bahrain,2014,male,8,755087,1.0595
Barbados1985,1417575550,Barbados,1985,male,5,109000,4.5872
Barbados1986,1556321742,Barbados,1986,male,7,109300,6.4044
Barbados1987,1713771321,Barbados,1987,male,4,110100,3.6331
Barbados1988,1822815594,Barbados,1988,male,11,110700,9.9368
Barbados1989,2015731029,Barbados,1989,male,12,113000,10.6195
Barbados1990,2023318252,Barbados,1990,male,13,113000,11.5044
Barbados1991,2007109829,Barbados,1991,male,13,113000,11.5044
Barbados1992,1950900000,Barbados,1992,male,11,114000,9.6491
Barbados1993,2046189032,Barbados,1993,male,15,114800,13.0662
Barbados1994,2151295182,Barbados,1994,male,10,115200,8.6806
Barbados1995,2261969870,Barbados,1995,male,12,115800,10.3627
Barbados2000,3121500000,Barbados,2000,male,8,120122,6.6599
Barbados2001,3116650000,Barbados,2001,male,2,120702,1.657
Barbados2002,3169600000,Barbados,2002,male,0,121127,0
Barbados2003,3274850000,Barbados,2003,male,0,121474,0
Barbados2004,3514350000,Barbados,2004,male,3,121839,2.4623
Barbados2005,3897300000,Barbados,2005,male,1,122292,0.8177
Barbados2006,4246600000,Barbados,2006,male,9,122759,7.3314
Barbados2007,4523750000,Barbados,2007,male,0,123336,0
Barbados2008,4607300000,Barbados,2008,male,0,123977,0
Barbados2009,4434050000,Barbados,2009,male,5,124605,4.0127
Barbados2010,4461650000,Barbados,2010,male,3,125175,2.3966
Barbados2011,4660900000,Barbados,2011,male,0,125793,0
Barbados2012,4656350000,Barbados,2012,male,0,126278,0
Barbados2013,4612500000,Barbados,2013,male,0,126674,0
Belarus1990,21650000000,Belarus,1990,male,1650,4374200,37.7212
Belarus1991,18000000000,Belarus,1991,male,1727,4412700,39.137
Belarus1992,17037037037,Belarus,1992,male,1954,4463100,43.7812
Belarus1993,16280991736,Belarus,1993,male,2360,4500200,52.4421
Belarus1994,14932024169,Belarus,1994,male,2582,4492600,57.4723
Belarus1995,13972676841,Belarus,1995,male,2689,4488700,59.906
Belarus1996,14756846154,Belarus,1996,male,3081,4494900,68.5444
Belarus1997,14128408566,Belarus,1997,male,2964,4498500,65.8886
Belarus1998,15222012660,Belarus,1998,male,3006,4498700,66.8193
Belarus1999,12138486532,Belarus,1999,male,2868,4468900,64.1769
Belarus2000,12736856828,Belarus,2000,male,2978,4458162,66.7988
Belarus2001,12354820144,Belarus,2001,male,2813,4442093,63.326
Belarus2002,14594249023,Belarus,2002,male,2780,4417669,62.9291
Belarus2003,17827791321,Belarus,2003,male,2916,4390690,66.4133
Belarus2007,45277399814,Belarus,2007,male,2203,4293071,51.3152
Belarus2008,60763483146,Belarus,2008,male,2187,4272352,51.1896
Belarus2009,49209523810,Belarus,2009,male,2238,4253521,52.6152
Belarus2010,57222490769,Belarus,2010,male,2069,4151103,49.8422
Belarus2011,61757788945,Belarus,2011,male,1792,4132425,43.3644
Belarus2013,75527984234,Belarus,2013,male,1568,4113206,38.1211
Belarus2014,78813839984,Belarus,2014,male,1465,4112945,35.6192
Belgium1985,86730038793,Belgium,1985,male,1522,4509900,33.748
Belgium1986,1.21E+11,Belgium,1986,male,1488,4519400,32.9247
Belgium1987,1.50E+11,Belgium,1987,male,1543,4521700,34.1243
Belgium1988,1.63E+11,Belgium,1988,male,1353,4536700,29.8234
Belgium1989,1.65E+11,Belgium,1989,male,1338,4552500,29.3904
Belgium1990,2.06E+11,Belgium,1990,male,1303,4563700,28.5514
Belgium1991,2.12E+11,Belgium,1991,male,1278,4578500,27.9131
Belgium1992,2.36E+11,Belgium,1992,male,1313,4595400,28.5721
Belgium1993,2.26E+11,Belgium,1993,male,1552,4613600,33.6397
Belgium1994,2.46E+11,Belgium,1994,male,1543,4631500,33.3153
Belgium1995,2.90E+11,Belgium,1995,male,1550,4644800,33.3707
Belgium1996,2.81E+11,Belgium,1996,male,1458,4659003,31.2942
Belgium1997,2.55E+11,Belgium,1997,male,1551,4668241,33.2245
Belgium1998,2.61E+11,Belgium,1998,male,1462,4690578,31.1689
Belgium1999,2.60E+11,Belgium,1999,male,1361,4704392,28.9304
Belgium2000,2.38E+11,Belgium,2000,male,1526,4717298,32.349
Belgium2001,2.38E+11,Belgium,2001,male,1582,4735804,33.4051
Belgium2002,2.59E+11,Belgium,2002,male,1497,4761307,31.4409
Belgium2003,3.19E+11,Belgium,2003,male,1537,4784839,32.1223
Belgium2004,3.71E+11,Belgium,2004,male,1450,4806338,30.1685
Belgium2005,3.87E+11,Belgium,2005,male,1477,4832141,30.5662
Belgium2006,4.10E+11,Belgium,2006,male,1395,4863263,28.6844
Belgium2007,4.72E+11,Belgium,2007,male,1320,4898357,26.9478
Belgium2008,5.19E+11,Belgium,2008,male,1452,4934854,29.4234
Belgium2009,4.85E+11,Belgium,2009,male,1459,4971518,29.3472
Belgium2010,4.84E+11,Belgium,2010,male,1450,4990467,29.0554
Belgium2011,5.27E+11,Belgium,2011,male,1488,5071534,29.3402
Belgium2012,4.98E+11,Belgium,2012,male,1485,5117913,29.0157
Belgium2013,5.21E+11,Belgium,2013,male,1363,5163433,26.3972
Belgium2014,5.31E+11,Belgium,2014,male,1338,5189641,25.7821
Belgium2015,4.55E+11,Belgium,2015,male,1315,5212968,25.2256
Belize1986,227850000,Belize,1986,male,2,73200,2.7322
Belize1987,276550000,Belize,1987,male,4,72561,5.5126
Belize1989,363150000,Belize,1989,male,1,77133,1.2965
Belize1990,413050000,Belize,1990,male,2,79800,2.5063
Belize1991,444720750,Belize,1991,male,2,81900,2.442
Belize1993,559858250,Belize,1993,male,1,86200,1.1601
Belize1994,580863700,Belize,1994,male,7,85984,8.141
Belize1995,620140400,Belize,1995,male,13,91100,14.27
Belize1996,641383800,Belize,1996,male,8,91024,8.7889
Belize1997,654314350,Belize,1997,male,1,94408,1.0592
Belize1998,688992450,Belize,1998,male,11,98164,11.2057
Belize1999,732732350,Belize,1999,male,18,101984,17.6498
Belize2000,832072450,Belize,2000,male,14,105702,13.2448
Belize2001,871860600,Belize,2001,male,17,109278,15.5567
Belize2002,932551850,Belize,2002,male,9,112693,7.9863
Belize2003,990374050,Belize,2003,male,8,116044,6.8939
Belize2004,1057845500,Belize,2004,male,19,119447,15.9066
Belize2005,1114222550,Belize,2005,male,11,122980,8.9445
Belize2006,1217467600,Belize,2006,male,9,126773,7.0993
Belize2007,1290573400,Belize,2007,male,6,130541,4.5963
Belize2008,1368625150,Belize,2008,male,10,134273,7.4475
Belize2009,1336957250,Belize,2009,male,11,137949,7.974
Belize2010,1397113450,Belize,2010,male,13,141601,9.1807
Belize2011,1487005600,Belize,2011,male,28,145379,19.26
Belize2012,1573670250,Belize,2012,male,16,148917,10.7442
Belize2013,1612573850,Belize,2013,male,16,152318,10.5043
Belize2014,1703951050,Belize,2014,male,18,155690,11.5614
Belize2015,1778567600,Belize,2015,male,22,159123,13.8258
Bosnia and Herzegovina2011,18644723861,Bosnia and Herzegovi,2011,male,5,1790389,0.2793
Bosnia and Herzegovina2014,18558343508,Bosnia and Herzegovi,2014,male,243,1786607,13.6012
Brazil1985,2.23E+11,Brazil,1985,male,3162,58482100,5.4068
Brazil1986,2.68E+11,Brazil,1986,male,3117,58278300,5.3485
Brazil1987,2.94E+11,Brazil,1987,male,3509,60753456,5.7758
Brazil1988,3.30E+11,Brazil,1988,male,3327,62156362,5.3526
Brazil1989,4.26E+11,Brazil,1989,male,3392,63552766,5.3373
Brazil1990,4.62E+11,Brazil,1990,male,3589,64921672,5.5282
Brazil1991,6.03E+11,Brazil,1991,male,3961,66326202,5.972
Brazil1992,4.01E+11,Brazil,1992,male,4033,67644195,5.9621
Brazil1993,4.38E+11,Brazil,1993,male,4321,68902838,6.2711
Brazil1994,5.58E+11,Brazil,1994,male,4605,70144028,6.5651
Brazil1995,7.69E+11,Brazil,1995,male,5135,71397574,7.1921
Brazil1996,8.50E+11,Brazil,1996,male,5300,72639691,7.2963
Brazil1997,8.83E+11,Brazil,1997,male,5474,73888729,7.4084
Brazil1998,8.64E+11,Brazil,1998,male,5477,75145216,7.2886
Brazil1999,5.99E+11,Brazil,1999,male,5281,76405105,6.9118
Brazil2000,6.55E+11,Brazil,2000,male,5383,77662574,6.9313
Brazil2001,5.59E+11,Brazil,2001,male,6153,78853176,7.8031
Brazil2002,5.08E+11,Brazil,2002,male,6003,80104187,7.494
Brazil2003,5.58E+11,Brazil,2003,male,6234,81381699,7.6602
Brazil2004,6.69E+11,Brazil,2004,male,6292,82639038,7.6138
Brazil2005,8.92E+11,Brazil,2005,male,6725,83842622,8.021
Brazil2006,1.11E+12,Brazil,2006,male,6817,85044257,8.0158
Brazil2007,1.40E+12,Brazil,2007,male,6984,86159181,8.1059
Brazil2008,1.70E+12,Brazil,2008,male,7266,87203399,8.3322
Brazil2009,1.67E+12,Brazil,2009,male,7473,88206531,8.4722
Brazil2010,2.21E+12,Brazil,2010,male,7356,89189792,8.2476
Brazil2011,2.62E+12,Brazil,2011,male,7734,90155120,8.5785
Brazil2012,2.47E+12,Brazil,2012,male,8041,91073891,8.8291
Brazil2013,2.47E+12,Brazil,2013,male,8290,91958860,9.0149
Brazil2014,2.46E+12,Brazil,2014,male,8398,92823821,9.0472
Brazil2015,1.80E+12,Brazil,2015,male,8766,93677041,9.3577
Bulgaria1985,17155421053,Bulgaria,1985,male,1034,4161500,24.8468
Bulgaria1986,20249294118,Bulgaria,1986,male,975,4160800,23.433
Bulgaria1987,28101000000,Bulgaria,1987,male,1063,4132200,25.7248
Bulgaria1988,22555941176,Bulgaria,1988,male,1025,4135500,24.7854
Bulgaria1989,21988444444,Bulgaria,1989,male,1041,4138300,25.1553
Bulgaria1990,20632090909,Bulgaria,1990,male,920,4142400,22.2093
Bulgaria1991,10943548387,Bulgaria,1991,male,1001,4145300,24.1478
Bulgaria1992,10350515464,Bulgaria,1992,male,1108,3943400,28.0976
Bulgaria1993,10829710145,Bulgaria,1993,male,1023,3918300,26.1083
Bulgaria1994,9697416974,Bulgaria,1994,male,1048,3910800,26.7976
Bulgaria1995,13063422619,Bulgaria,1995,male,1020,3900100,26.1532
Bulgaria1996,10109612142,Bulgaria,1996,male,1111,3885700,28.592
Bulgaria1997,11195612105,Bulgaria,1997,male,1002,3867100,25.9109
Bulgaria1998,14630992956,Bulgaria,1998,male,1055,3846000,27.4311
Bulgaria1999,13495075366,Bulgaria,1999,male,965,3826000,25.2222
Bulgaria2000,13153016531,Bulgaria,2000,male,1001,3804025,26.3142
Bulgaria2001,14075616789,Bulgaria,2001,male,951,3688551,25.7825
Bulgaria2002,16276456428,Bulgaria,2002,male,981,3662091,26.788
Bulgaria2003,20982685981,Bulgaria,2003,male,800,3633628,22.0166
Bulgaria2004,25957970922,Bulgaria,2004,male,746,3607569,20.6787
Bulgaria2005,29636617750,Bulgaria,2005,male,727,3582592,20.2926
Bulgaria2006,34130122491,Bulgaria,2006,male,752,3556857,21.1423
Bulgaria2007,44411476557,Bulgaria,2007,male,663,3531620,18.7733
Bulgaria2008,54409138498,Bulgaria,2008,male,694,3507465,19.7864
Bulgaria2009,51884481410,Bulgaria,2009,male,662,3482586,19.0089
Bulgaria2010,50610058210,Bulgaria,2010,male,649,3453774,18.791
